ID,Product Name,Price (BDT),URL,Tags
1,"Off-white Cotton Saree",4291,https://www.lerevecraze.com/product/lshr17062/,"Color:Off-white; Fabric:Cotton"
2,"Yellow Cotton Saree",3291,https://www.lerevecraze.com/product/lshr17147/,"Color:Yellow; Fabric:Cotton"
3,"Saree",4491,https://www.lerevecraze.com/product/lshr16991/,""
4,"Mint Green Cotton Saree",4091,https://www.lerevecraze.com/product/lshr15400/,"Color:Mint Green; Fabric:Cotton"
5,"Gray Cotton Check Saree",2091,https://www.lerevecraze.com/product/lshr17169/,"Color:Gray Cotton Check; Fabric:Cotton"
6,"Green Cotton Saree",3291,https://www.lerevecraze.com/product/lshr17145/,"Color:Green; Fabric:Cotton"
7,"Blue Half-silk Saree",3091,https://www.lerevecraze.com/product/lshr17171/,"Color:Blue; Fabric:Half Silk"
8,"Teal Cotton Saree",2091,https://www.lerevecraze.com/product/lshr17164/,"Color:Teal; Fabric:Cotton"
9,"Green Cotton Saree",2091,https://www.lerevecraze.com/product/lshr17166/,"Color:Green; Fabric:Cotton"
10,"Purple Cotton Saree",2091,https://www.lerevecraze.com/product/lshr17165/,"Color:Purple; Fabric:Cotton"
11,"Green Half-silk Saree",3091,https://www.lerevecraze.com/product/lshr17159/,"Color:Green; Fabric:Half Silk"
12,"Teal Half Silk Saree",3091,https://www.lerevecraze.com/product/lshr17157/,"Color:Teal Half Silk"
13,"Yellow Cotton Saree",3291,https://www.lerevecraze.com/product/lshr17141/,"Color:Yellow; Fabric:Cotton"
14,"Blue Cotton Saree",3291,https://www.lerevecraze.com/product/lshr17140/,"Color:Blue; Fabric:Cotton"
15,"Sweet Pink Cotton Saree",3291,https://www.lerevecraze.com/product/lshr17137/,"Color:Sweet Pink; Fabric:Cotton"
16,"Red Cotton Saree",3291,https://www.lerevecraze.com/product/lshr17136/,"Color:Red; Fabric:Cotton"
17,"Saree",3695,https://www.lerevecraze.com/product/lshr17092/,""
18,"Yellow Cotton Saree",3991,https://www.lerevecraze.com/product/lshr17091/,"Color:Yellow; Fabric:Cotton"
19,"Blue Cotton Saree",3691,https://www.lerevecraze.com/product/lshr17090/,"Color:Blue; Fabric:Cotton"
20,"Yellow Cotton Nakshi Saree",3991,https://www.lerevecraze.com/product/lshr17058/,"Color:Yellow Cotton; Fabric:Cotton"
